,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,0.7569242521248271,0.000573723441987195,0.03362563325619514,0.4471458816985133,-9.754577766012366,0.026795291878523957,0.10863924050632912,0.0,0.0,0.015237863092796077,4.2612,1.9602,4.3592,0.0126
1,CTGAN,0.0035967073926373955,0.036953510331255685,0.24095513304369084,0.7885265017725192,-7.273917508399364,0.13481027959712547,0.005063291139240422,0.43800904977375565,0.421345251322303,0.01834493652994228,4.3197,1.8277,7.3144,0.0089
2,CTABGAN,0.0005831281595529274,0.055960652946267994,0.3160327207401535,0.8392431867472754,-1.9929305108117947,,0.02028481012658212,0.43800904977375565,0.421345251322303,0.014632864982391003,4.3098,1.5575,6.3448,0.0031
3,CART,0.5770983152727347,0.002877845295101468,0.03836947729142838,0.5393998702951726,-8.290169223212512,0.02851313064241792,0.02028481012658223,0.0,0.0,0.014168391023451321,4.2563,1.9707,4.3655,0.013
4,DataSynth,0.20052910782551883,0.0042556585966305426,0.1427559242308392,0.5846943918485118,-2.731919155781774,0.08389009121525554,0.03556962025316457,0.026470588235294135,0.029368107407261812,0.026707623452948838,4.2085,2.0709,12.347,0.0106
5,GReaT,0.00024297903827343284,0.0682144560651609,0.49989000833398894,1.0,-1.4403210020918955,0.10968983282531118,0.04025316455696215,0.0028594771241829964,0.00320589661592785,0.01675584643694291,4.466,1.4334,4.0689,0.0001
6,TabDDPM,0.3377136615093165,0.0009058889605086905,0.058227417730100185,0.5386282514235304,-8.543206368962265,0.03589279537309297,0.09857594936708858,0.0,0.0,0.012002405569889674,4.2083,2.0713,8.0505,0.0155
