,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,0.44089899692703916,0.004041143528800599,0.06348089811293749,0.4730844569142441,-9.333086127859593,0.007609503279942197,0.06469344608879501,0.0,0.0,0.01888592748253383,5.5478,1.1053,3.3247,0.0007
1,CTGAN,3.022094955797988e-20,0.01346322390292661,0.22260442498977331,0.7367437126549061,-8.551017125070725,0.012994805075339956,0.03699788583509511,0.0,0.0,0.013773408164624948,5.5945,0.8375,4.8046,0.0004
2,CTABGAN,0.013234843893488014,0.012657535050261478,0.13300693542555472,0.5644221751079568,-6.858736517257703,,0.03699788583509511,0.0,0.0,0.011872254252234652,5.5094,0.8044,4.6382,0.0003
3,CART,0.7426918189300986,0.0051069694391158,0.07421227732136931,0.5047846316458189,-7.481123517706495,0.009696317165530287,0.02283298097251585,0.0,0.0,0.013898858224862417,5.569,0.9932,4.5392,0.0005
4,DataSynth,0.28996193469021836,0.0044835295510203994,0.07050509750791882,0.4723033622747271,-7.973851923370824,0.011604682960173291,0.023150105708245272,0.0,0.0,0.014638659663122344,5.581,0.9232,5.6156,0.0007
5,GReaT,1.8551997877460817e-07,0.01282280582267092,0.1425429958580292,0.6124137722121501,-12.133699903662793,0.012884828989072311,0.06448202959830862,0.0,0.0,0.01525154810265547,5.5963,0.8255,4.7808,0.0002
6,TabDDPM,0.6643774174483044,0.0019292689744921396,0.0678929364642434,0.4534817979051045,-21.416413017506358,0.00677279173341075,0.023150105708245383,0.0,0.0,0.012515917463588584,5.5454,1.1174,3.4552,0.0008
