Dataset Name,CosineSimilarity_TVAE,CosineSimilarity_CTGAN,CosineSimilarity_convexCTGAN,CosineSimilarity_CTABGAN,CosineSimilarity_convexCTABGAN,CosineSimilarity_TabDDPM,CosineSimilarity_NextConvGeN
HeartFailure,0.0021,0.0014,0.0016,0.0006,0.0006,0.0005,0.0005
HeartDisease,0.0022,0.001,0.0015,0.0001,-0.0001,0.0028,0.0021
IndianLiverPatients,0.0056,0.0095,0.0081,0.0018,0.0031,0.0155,0.0141
PimaIndianDiabetes,0.0098,0.0038,0.0077,0.0011,0.0008,0.0085,0.0086
ContraceptiveMethods,0.0075,0.0032,0.0075,0.0001,0.0006,0.0057,0.0052
Obesity,0.0059,0.0028,0.0052,0.0002,0.0013,0.0065,0.0063
