,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,5.827558452607063e-15,0.004006852937538826,0.07160590418786737,0.5457148776486543,-15.02007768259136,0.007005695711995941,0.004984924623115505,0.02846061247520132,0.0444602441631258,0.017334308645738927,4.2817,1.2911,3.744,0.0061
1,CTGAN,7.000547048607904e-25,0.007304150437503872,0.11774524748282818,0.5937825837078266,-5.738974455239869,0.028192365552361782,0.4833969849246231,0.031550288873173155,0.03561208987747361,0.05130124561167965,4.3341,1.1026,3.5426,0.0041
2,convexCTGAN,2.805173829367945e-27,0.02143250943388258,0.10881874556107562,0.5986100412465755,-10.22723743484558,0.030657803899278708,0.2296633165829145,0.0,0.0,0.05288067743730675,4.2859,1.277,3.9227,0.0064
3,CTABGAN,3.783960733818098e-27,0.24154233057717858,0.343128339733564,0.8456272351344939,-2.2519166428681254,0.029433912904740584,0.46841206030150745,0.09410325675183084,0.10775654224134384,0.05158189537682239,4.3667,0.9654,3.2522,0.0003
4,convexCTABGAN,1.6595970540388054e-19,0.17363927708881066,0.315430181443172,0.8285442803712568,-2.7332362991025985,0.029315024259934336,0.4673869346733668,0.0950936966236563,0.10896475788049764,0.06023066149331265,4.3599,0.9954,3.5109,0.0009
5,TabDDPM,0.7279896007275463,0.0029671249880666045,0.031795377167278274,0.4655289220524944,-7.095391838186511,0.005917258635842397,0.012060301507537785,0.02846061247520132,0.0444602441631258,0.0095624105265217,4.2686,1.334,1.4696,0.0068
