Model,f1score_mean,f1score_std,RMSE_mean,RMSE_std
CART,0.5320925778544943,0.02024382465161403,1.1454400526531248,0.05057738800968935
CTABGAN,0.41063081674448504,0.03415680958546966,1.2049840782682324,0.07358669870239909
CTGAN,0.4881656662512709,0.027216779088791002,1.373807521311178,0.07914976445240506
DataSynth,0.388596428692197,0.02226230521483031,1.963990591745273,0.03645546967470902
GReaT,0.49033034012833354,0.02762730757463406,1.21332590923924,0.046324799411047494
NextConvGeN,0.5631448751881887,0.028603908503778166,0.8716922903599746,0.05897117823892798
TabDDPM,0.5716072288001387,0.022232935182105156,1.2406930421454105,0.05062409957088579
