Model,f1score_mean,f1score_std,RMSE_mean,RMSE_std
CART,0.6324398073497367,0.03026095726949564,1.3504164398048253,0.03033305474006801
CTABGAN,0.5741967800907954,0.0208822172926734,1.3918063010000679,0.05172994696473587
CTGAN,0.555728641185141,0.03876221909975013,1.4702670500749504,0.03656653237086175
DataSynth,0.4860280437674767,0.07977060031438538,1.6578372271228197,0.040156770301290515
GReaT,0.5525178837795968,0.03258067964177039,1.4028834649868127,0.029309696249201038
NextConvGeN,0.683208282641598,0.025693312126878913,1.242915904227761,0.03226615841185116
TabDDPM,0.5819948751685222,0.034904522595358096,1.2180267899711508,0.22835376639954647
