,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,0.007012256824764201,0.013904994741135745,0.043377295521601945,0.7139799161843826,-2.067683653695432,0.24554157563322965,0.12427409988385596,0.01103469079939673,0.04375361162967789,0.01950180986451173,4.9454,1.2422,3.7614,-0.0004
1,CTGAN,0.14307763945820778,0.009243529644892395,0.1903773389388511,0.70136465554726,-8.34719195305642,0.054903746298087044,0.5072009291521486,0.02469027411959801,0.023569741010562473,0.04619257494421539,4.981,1.0906,4.2624,0.0008
2,convexCTGAN,0.1334537163961823,0.007666303339486307,0.08891800057105216,0.6644531224605537,-10.309344275444749,0.044712507856944396,0.5599303135888503,0.0,0.0,0.06308834695068806,4.9785,1.1022,4.6466,0.0007
3,CTABGAN,0.276274584422297,0.039353389807467366,0.15770641494634627,0.7222076734060474,-21.416413017506358,0.05753244449732443,0.5171893147502904,0.02469027411959801,0.023569741010562473,0.053903215426929496,4.9993,1.0034,3.988,0.0002
4,convexCTABGAN,0.04796343844934171,0.036175639403252614,0.2471439415957673,0.798936416015289,-1.9653383679657834,0.05363018822441584,0.5212543554006969,0.17474330979801006,0.19463562655926964,0.05905006720931013,4.9952,1.0237,3.9617,0.0001
5,TabDDPM,0.17686780100896932,0.01270556894018652,0.20692270188272982,0.724987578744477,-2.0912018879727086,0.21340458756754058,0.18164924506387925,0.0,0.0,0.039347115255699505,4.97,1.1398,3.5869,0.0015
