,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,0.5609798019328395,0.004369982674866109,0.04211217065296159,0.5025887236576325,-9.05746477320994,0.03143885250710646,0.007278020378457151,0.2215058415598501,0.20155244606439626,0.0025341579904582857,4.4285,1.5455,3.0471,0.0083
1,CTGAN,0.029830932928730777,0.025702912977920857,0.1288609961807817,0.6303648973812369,-12.691402901262517,0.033486743584405225,0.0005822416302767586,0.0,0.0,0.0019089428992830394,4.4461,1.4941,4.0721,0.0074
2,CTABGAN,7.051014019041557e-09,0.1529101731649273,0.3105768720839395,0.8246071123450628,-2.5822314488934577,0.09884585884874139,0.003202328966521173,0.0,0.0,0.0017384429634928922,4.533,1.2051,3.7132,0.0021
3,CART,0.45562131706510306,0.00010283906304824228,0.009178354433525802,0.49659523599972033,-9.098107284781442,0.01494436795935623,0.0005822416302764255,0.0,0.0,0.0011264807224366403,4.4547,1.4683,4.054,0.0071
4,DataSynth,0.004025573494810673,0.013081058206116585,0.1356797924991195,0.5881827262994505,-11.23463845231373,0.04215500418400322,0.0014556040756912303,0.0,0.0,0.002665263974088128,4.4042,1.6133,7.5558,0.0072
5,GReaT,2.4093764391611568e-30,0.17897572161175396,0.42092886781417344,0.9265445038006263,-21.416413017506358,0.09221764765913,0.001164483260553184,0.30813688335225564,0.2732020753848009,0.0018868998190393449,4.5384,1.1843,3.6775,0.0012
6,TabDDPM,0.5881375519583866,0.0004347062176219672,0.021358888150864667,0.45779820717402997,-15.878449661987311,0.004002687096343908,0.005240174672489162,0.14010847217326527,0.13387999741641132,0.0022515169946836664,4.4368,1.5214,1.3972,0.0079
