,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,NextConvGeN,0.7992210080626155,0.0010534346989635474,0.019725600691559382,0.4092847185453422,-8.450767723246994,0.030496329071869686,0.16151898734177206,0.0,0.0,0.018650834755211433,4.2337,2.0188,4.6256,0.0137
1,CTGAN,0.10345492597357571,0.03728058199282083,0.2903737048672489,0.8258923120421937,-3.2136600859141113,0.10167372236158657,0.04784810126582273,0.4257130124777183,0.35669092927704305,0.014749649700118717,4.345,1.7667,9.7468,0.0078
2,CTABGAN,0.012260771660994624,0.05641460560136126,0.27607174024445497,0.8134143515707388,-2.4674787189294016,0.10270833875442104,0.035253164556962036,0.02008443568815088,0.03906162464037888,0.014861128256112266,4.4591,1.4547,3.7061,0.0019
3,CART,0.7106647189020631,0.00030613944486572627,0.03852633071391701,0.4392632317284665,-8.18211649762929,0.030138123866745335,0.03272151898734166,0.43800904977375565,0.421345251322303,0.01549848268147258,4.2176,2.0523,6.2735,0.0142
4,DataSynth,0.29822721807739483,0.00808756664786879,0.12325910561171968,0.5878303959575784,-2.3620208240728084,0.08129642276534185,0.01512658227848096,0.0,0.0,0.017814903626236455,4.1482,2.1892,10.7939,0.0119
5,GReaT,5.9648950898361254e-05,0.059992318276031936,0.4998489520190358,0.9987341772151899,-1.4403210020918955,0.10360366068240756,0.03518987341772162,0.0,0.0,0.015203622655204686,4.4603,1.4512,3.8788,0.0002
6,TabDDPM,0.7174482901762277,0.00013484721792863218,0.031626948496181265,0.4593203692352398,-8.45288029392602,0.053749713076795595,0.19689873417721515,0.0,0.0,0.016429596356611932,4.1885,2.1111,8.0642,0.0158
